nodes,type,prim_array,prim_heap,prim_heap_optimized,kruskal_array,kruskal_union_find
50,sparse,0.01006,0.00648,0.0035,0.0042,0.00208
50,dense,0.03162,0.03686,0.03266,0.0727,0.04856
100,sparse,0.04462,0.02486,0.0108,0.0139,0.00584
100,dense,0.0634,0.06882,0.05842,0.20218,0.1799
200,sparse,0.13648,0.07202,0.02592,0.04158,0.01172
200,dense,0.27964,0.27824,0.21786,1.00074,0.87296
300,sparse,0.19198,0.08844,0.02862,0.05332,0.01342
300,dense,0.54422,0.48588,0.36854,2.194,2.13224
400,sparse,0.32322,0.16342,0.06464,0.08972,0.02332
400,dense,0.98654,0.76818,0.58182,3.75372,3.5478
600,sparse,0.68828,0.31228,0.09262,0.17462,0.05098
600,dense,2.81718,2.5795,2.0356,11.27196,11.98776
800,sparse,1.2087,0.5162,0.12274,0.30152,0.09924
800,dense,3.50806,2.78636,1.88856,18.60358,20.38866
1000,sparse,3.49494,1.2467,0.26434,0.61954,0.15736
1000,dense,4.64394,4.05728,3.10516,28.1907,28.04834
10000,sparse,234.11734,84.0158,5.6299,53.98296,8.32992
10000,dense,452.9177,336.04254,242.91996,3774.0702,3620.20186
